Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31981,00000418,false,Rx,0,8,F6,02,63,FE,5C,FF,15,00,
31986,00000418,false,Rx,0,8,0C,03,56,FE,84,FF,13,00,
31990,00000418,false,Rx,0,8,11,03,4D,FE,A7,FF,14,00,
31997,00000418,false,Rx,0,8,F8,02,46,FE,AB,FF,18,00,
32257,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
32262,00000418,false,Rx,0,8,F3,02,4B,FE,AF,FF,1C,00,
32268,00000418,false,Rx,0,8,F5,02,48,FE,C9,FF,1C,00,
32273,00000418,false,Rx,0,8,D4,02,69,FE,A1,FF,1B,00,
32283,00000418,false,Rx,0,8,E1,02,6F,FE,73,FF,1C,00,
32288,00000418,false,Rx,0,8,E5,02,6C,FE,6A,FF,1E,00,
32297,00000418,false,Rx,0,8,E9,02,6D,FE,5A,FF,1F,00,
32308,00000418,false,Rx,0,8,01,03,53,FE,8A,FF,1E,00,
32313,00000418,false,Rx,0,8,F0,02,4B,FE,96,FF,1D,00,
32317,00000418,false,Rx,0,8,F2,02,54,FE,B6,FF,21,00,
32335,00000418,false,Rx,0,8,E2,02,5B,FE,BA,FF,29,00,
32341,00000418,false,Rx,0,8,DE,02,66,FE,7B,FF,31,00,
32342,00000418,false,Rx,0,8,E8,02,6F,FE,72,FF,34,00,
32347,00000418,false,Rx,0,8,ED,02,65,FE,60,FF,37,00,
32352,00000418,false,Rx,0,8,00,03,55,FE,76,FF,3C,00,
32357,00000418,false,Rx,0,8,F6,02,53,FE,97,FF,3F,00,
32366,00000418,false,Rx,0,8,E9,02,52,FE,A1,FF,3B,00,
32371,00000418,false,Rx,0,8,E8,02,54,FE,B3,FF,32,00,
32383,00000418,false,Rx,0,8,D2,02,65,FE,9F,FF,30,00,
32136,00000418,false,Rx,0,8,DB,02,69,FE,80,FF,3D,00,
32139,00000418,false,Rx,0,8,E5,02,64,FE,75,FF,4D,00,
32154,00000418,false,Rx,0,8,F2,02,63,FE,73,FF,4F,00,
32158,00000418,false,Rx,0,8,05,03,55,FE,7A,FF,3E,00,
32162,00000418,false,Rx,0,8,F8,02,50,FE,92,FF,27,00,
32167,00000418,false,Rx,0,8,F0,02,53,FE,9D,FF,1B,00,
32177,00000418,false,Rx,0,8,E8,02,5F,FE,B4,FF,1F,00,
32184,00000418,false,Rx,0,8,D1,02,68,FE,8F,FF,28,00,
32189,00000418,false,Rx,0,8,DC,02,6B,FE,75,FF,2E,00,
